name	status	result	rom	model	frames	steps	pc	image	metadata
mooneye-acceptance :: halt_ime0_nointr_timing	stop-condition-met		mooneye-test-suite/acceptance/halt_ime0_nointr_timing.gb	Auto	30	387967	0x4B2E	mooneye/acceptance/mooneye-acceptance-halt-ime0-nointr-timing.png	mooneye/acceptance/mooneye-acceptance-halt-ime0-nointr-timing.txt
mooneye-acceptance :: interrupts :: ie_push	stop-condition-met		mooneye-test-suite/acceptance/interrupts/ie_push.gb	Auto	25	300405	0x486E	mooneye/acceptance/mooneye-acceptance-interrupts-ie-push.png	mooneye/acceptance/mooneye-acceptance-interrupts-ie-push.txt
mooneye-acceptance :: intr_timing	stop-condition-met		mooneye-test-suite/acceptance/intr_timing.gb	Auto	25	301712	0x4B2E	mooneye/acceptance/mooneye-acceptance-intr-timing.png	mooneye/acceptance/mooneye-acceptance-intr-timing.txt
mooneye-acceptance :: jp_cc_timing	stop-condition-met		mooneye-test-suite/acceptance/jp_cc_timing.gb	Auto	27	313847	0x486E	mooneye/acceptance/mooneye-acceptance-jp-cc-timing.png	mooneye/acceptance/mooneye-acceptance-jp-cc-timing.txt
mooneye-acceptance :: jp_timing	stop-condition-met		mooneye-test-suite/acceptance/jp_timing.gb	Auto	27	313847	0x486E	mooneye/acceptance/mooneye-acceptance-jp-timing.png	mooneye/acceptance/mooneye-acceptance-jp-timing.txt
mooneye-acceptance :: ld_hl_sp_e_timing	stop-condition-met		mooneye-test-suite/acceptance/ld_hl_sp_e_timing.gb	Auto	28	321800	0x4B2E	mooneye/acceptance/mooneye-acceptance-ld-hl-sp-e-timing.png	mooneye/acceptance/mooneye-acceptance-ld-hl-sp-e-timing.txt
mooneye-acceptance :: oam_dma :: basic	stop-condition-met	mooneye: pass	mooneye-test-suite/acceptance/oam_dma/basic.gb	Auto	1	95511	0x4832	mooneye/acceptance/mooneye-acceptance-oam-dma-basic.png	mooneye/acceptance/mooneye-acceptance-oam-dma-basic.txt
mooneye-acceptance :: oam_dma :: reg_read	stop-condition-met		mooneye-test-suite/acceptance/oam_dma/reg_read.gb	Auto	25	300498	0x486E	mooneye/acceptance/mooneye-acceptance-oam-dma-reg-read.png	mooneye/acceptance/mooneye-acceptance-oam-dma-reg-read.txt
mooneye-acceptance :: oam_dma :: sources-GS	stop-condition-met		mooneye-test-suite/acceptance/oam_dma/sources-GS.gb	Auto	25	559850	0x490E	mooneye/acceptance/mooneye-acceptance-oam-dma-sources-gs.png	mooneye/acceptance/mooneye-acceptance-oam-dma-sources-gs.txt
mooneye-acceptance :: oam_dma_restart	stop-condition-met		mooneye-test-suite/acceptance/oam_dma_restart.gb	Auto	28	321678	0x4B2E	mooneye/acceptance/mooneye-acceptance-oam-dma-restart.png	mooneye/acceptance/mooneye-acceptance-oam-dma-restart.txt
mooneye-acceptance :: oam_dma_start	stop-condition-met		mooneye-test-suite/acceptance/oam_dma_start.gb	Auto	27	330641	0x4B2E	mooneye/acceptance/mooneye-acceptance-oam-dma-start.png	mooneye/acceptance/mooneye-acceptance-oam-dma-start.txt
mooneye-acceptance :: oam_dma_timing	stop-condition-met		mooneye-test-suite/acceptance/oam_dma_timing.gb	Auto	28	321671	0x4B2E	mooneye/acceptance/mooneye-acceptance-oam-dma-timing.png	mooneye/acceptance/mooneye-acceptance-oam-dma-timing.txt
mooneye-acceptance :: reti_intr_timing	stop-condition-met	mooneye: pass	mooneye-test-suite/acceptance/reti_intr_timing.gb	Auto	1	93863	0x4AF2	mooneye/acceptance/mooneye-acceptance-reti-intr-timing.png	mooneye/acceptance/mooneye-acceptance-reti-intr-timing.txt
